=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 29 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 30 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 31 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 32 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 33 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 34 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 27 | </cst/Ports/> 1^t0 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 28 | </cst/Ports/> 1^t1 | Aluminum | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 25 | component1:solid1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
3 | 26 | component1:solid1_1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 1 | component1:#1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 2 | component1:#10 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 3 | component1:#11 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 4 | component1:#12 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 5 | component1:#2 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 6 | component1:#3 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 7 | component1:#4 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 8 | component1:#5 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 9 | component1:#6 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 10 | component1:#7 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 11 | component1:#8 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 12 | component1:#9 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 13 | component1:1 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 14 | component1:10 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 15 | component1:11 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 16 | component1:12 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 17 | component1:2 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 18 | component1:3 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 19 | component1:4 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 20 | component1:5 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 21 | component1:6 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 22 | component1:7 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 23 | component1:8 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
4 | 24 | component1:9 | Aluminum | n/a | yes | pec.rho.surface-impedance. | sheet. | n/a | FIT_TD
=========================================
